snapshot_type,snapshot_time_utc,delivery_date,game_id,player_id,player_name,team,opponent,is_home,stat,pmf_json,pmf_mean,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_version,pmf_source,calibration_source,role_bucket,role_source,calibration_confidence,minutes_mean,minutes_q50,minutes_p10,minutes_p50,minutes_p90,minutes_std,p_inactive_used,rotation_probability,starter_probability,projected_role,player_game_eligible,eligibility_reason,has_current_market_line,sportsbook,book,market_key,line,market_line,p_over,over_price_american,under_price_american,market_no_vig_over_prob,market_no_vig_under_prob,model_p_under,fair_over_odds_american,fair_under_odds_american,edge,edge_over,edge_under,market_snapshot_time_utc,market_coverage_status,finality_status,finality_blocker_codes,injury_freshness_status,lineup_freshness_status,role_freshness_status,odds_freshness_status,outcomes_freshness_status,tov_status,pmf_valid,pmf_sum_error,expected_lineup_status,official_lineup_status,lineup_source,lineup_last_updated_utc,injury_context_source,injury_report_fetched_at_utc
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,williamhill_us,williamhill_us,player_pts_over_under,11.5,11.5,0.2781,-115.0,-113.0,0.502,0.498,0.7219,260.0,-260.0,-0.2239,-0.2239,0.2239,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,bovada,bovada,player_pts_over_under,13.5,13.5,0.1814,150.0,-200.0,0.375,0.625,0.8186,451.0,-451.0,-0.1936,-0.1936,0.1936,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,bovada,bovada,player_pts_over_under,12.5,12.5,0.2253,115.0,-150.0,0.4367,0.5633,0.7747,344.0,-344.0,-0.2114,-0.2114,0.2114,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,bovada,bovada,player_pts_over_under,11.5,11.5,0.2781,-115.0,-115.0,0.5,0.5,0.7219,260.0,-260.0,-0.2219,-0.2219,0.2219,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,bovada,bovada,player_pts_over_under,10.5,10.5,0.3399,-150.0,115.0,0.5633,0.4367,0.6601,194.0,-194.0,-0.2234,-0.2234,0.2234,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,bovada,bovada,player_pts_over_under,9.5,9.5,0.3999,-215.0,160.0,0.6396,0.3604,0.6001,150.0,-150.0,-0.2397,-0.2397,0.2397,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,bovada,bovada,player_pts_over_under,14.5,14.5,0.1449,190.0,-260.0,0.3232,0.6768,0.8551,590.0,-590.0,-0.1783,-0.1783,0.1783,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,betmgm,betmgm,player_pts_over_under,11.5,11.5,0.2781,-111.0,-120.0,0.491,0.509,0.7219,260.0,-260.0,-0.2128,-0.2128,0.2128,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,betrivers,betrivers,player_pts_over_under,11.5,11.5,0.2781,105.0,-143.0,0.4532,0.5468,0.7219,260.0,-260.0,-0.1751,-0.1751,0.1751,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
morning,2026-05-30T22:47:50Z,2026-05-30,21713534,89,Alex Caruso,OKC,SAS,True,pts,"{""0"": 0.046009765223577456, ""1"": 0.03720045941912419, ""2"": 0.038637949545242196, ""3"": 0.03608384709682036, ""4"": 0.05377470512790047, ""5"": 0.07752203557818824, ""6"": 0.07262720175785557, ""7"": 0.08078886966166869, ""8"": 0.08312041303024474, ""9"": 0.07430307930415773, ""10"": 0.06001546171312443, ""11"": 0.06180877811700941, ""12"": 0.05285397087925416, ""13"": 0.04387224485182909, ""14"": 0.03653084751643667, ""15"": 0.03697946451500941, ""16"": 0.0173970544910992, ""17"": 0.02556795378782028, ""18"": 0.01629305367420343, ""19"": 0.014565141096067555, ""20"": 0.006547030352269183, ""21"": 0.0071031468259308075, ""22"": 0.0025639188389422795, ""23"": 0.0071825043881106575, ""24"": 0.003938257506230313, ""25"": 0.0023116679022175506, ""26"": 0.000913823267836832, ""27"": 0.00018975804479518305, ""28"": 0.000287946673765104, ""29"": 0.0005944113779791857, ""30"": 0.00021317089071975668, ""31"": 6.370819441849913e-05, ""32"": 4.9224643949827416e-05, ""33"": 2.7912658089220894e-05, ""34"": 3.4585397746104094e-05, ""35"": 3.082064723222499e-05, ""36"": 0.0003518743538602656, ""37"": 0.0001825662550238894, ""38"": 0.0002128141590442824, ""39"": 0.0005322044796518249, ""40"": 0.00012347396499846073, ""41"": 0.00012087168764623733, ""42"": 0.0003558468500452983, ""43"": 0.00011616425286386268}",8.7936,8.7936,8,8,0.046,0.954,0.9168,0.8782,0.8421,0.7883,0.7108,0.6381,0.5574,0.4742,0.3999,0.3399,0.2781,0.2253,0.1814,0.1449,0.1079,0.0905,0.0649,0.0486,0.034,6233da92#phase10c,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,rotation,projected_minutes,high,20.6203,19.9662,8.8236,19.9662,29.7166,8.1008,0.05,0.8513,0.1296,rotation,True,current_market_line,True,betrivers,betrivers,player_pts_over_under,10.5,10.5,0.3399,-129.0,-106.0,0.5226,0.4774,0.6601,194.0,-194.0,-0.1827,-0.1827,0.1827,2026-05-30T22:46:36.095793Z,full,provisional,lineup_unconfirmed,fallback_used,projected,derived_from_projected_minutes,ok,finals_pending,current_phase8,ok,0.0,projected,not_available_yet,bdl_lineup_freshness_manifest,2026-05-30T21:12:58Z,bdl_plus_nba_official,2026-05-30T22:46:57Z
