player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,line_source
Keldon Johnson,666682,SAS,OKC,True,21713533,blk,13.5,13.5,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.2529,0.2529,0,0,0.8232,0.1768,0.0339,0.0174,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Keldon Johnson,666682,SAS,OKC,True,21713533,blk,14.5,14.5,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.2529,0.2529,0,0,0.8232,0.1768,0.0339,0.0174,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Keldon Johnson,666682,SAS,OKC,True,21713533,blk,15.5,15.5,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.2529,0.2529,0,0,0.8232,0.1768,0.0339,0.0174,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Keldon Johnson,666682,SAS,OKC,True,21713533,blk,16.5,16.5,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.2529,0.2529,0,0,0.8232,0.1768,0.0339,0.0174,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Keldon Johnson,666682,SAS,OKC,True,21713533,blk,17.5,17.5,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.2529,0.2529,0,0,0.8232,0.1768,0.0339,0.0174,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Keldon Johnson,666682,SAS,OKC,True,21713533,blk,18.5,18.5,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.2529,0.2529,0,0,0.8232,0.1768,0.0339,0.0174,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Keldon Johnson,666682,SAS,OKC,True,21713533,blk,19.5,19.5,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.2529,0.2529,0,0,0.8232,0.1768,0.0339,0.0174,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Keldon Johnson,666682,SAS,OKC,True,21713533,stocks,0.5,0.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.6811,0.6811,0,0,0.5569,0.4431,0.1729,0.0469,0.0131,0.0031,0.0005,0.0003,0.0003,0.0003,0.0003,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4431,126.0,-126.0,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Keldon Johnson,666682,SAS,OKC,True,21713533,stocks,1.5,1.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.6811,0.6811,0,0,0.5569,0.4431,0.1729,0.0469,0.0131,0.0031,0.0005,0.0003,0.0003,0.0003,0.0003,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1729,478.0,-478.0,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Keldon Johnson,666682,SAS,OKC,True,21713533,stocks,2.5,2.5,"stat_grid:component_convolution_mean_coherent_v1+components[stl:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded,blk:hurdle_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded]+prior_combo[joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:rotation+monotone_pit_cdf_v1+sparse_hurdle_guarded]+stat_grid_final_component_convolution_mean_coherent_v1",phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,phase8_pmf_cal,rotation,derived_from_projected_minutes,18.3323,17.1075,0.05,0.6811,0.6811,0,0,0.5569,0.4431,0.1729,0.0469,0.0131,0.0031,0.0005,0.0003,0.0003,0.0003,0.0003,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0469,2031.0,-2031.0,pre_close,2026-05-28T21:59:47Z,93f42d6f#phase10c,ac0eca3d-fb02-424e-b159-47419c5d9a56,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-05-28T21:59:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
