player_name,player_id,team,opponent,is_home,game_id,stat,line,market_line,pmf_source,calibration_source,cal_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,mean,pmf_mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,p_over,fair_over_odds_american,fair_under_odds_american,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status,injury_context_source,injury_report_fetched_at_utc,expected_lineup_status,official_lineup_status,lineup_source,line_source
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,47.5,47.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,48.5,48.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,49.5,49.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,50.5,50.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,51.5,51.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,52.5,52.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,53.5,53.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,54.5,54.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,55.5,55.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,56.5,56.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,57.5,57.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
Devin Vassell,3547246,SAS,NYK,True,21716138,pts,58.5,58.5,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:starter+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,role_aware_pmf_cal_v1,starter,derived_from_projected_minutes,30.592,34.2326,0.05,11.8777,11.8777,12,12,0.002,0.998,0.9948,0.9875,0.9734,0.949,0.9133,0.8708,0.8207,0.7565,0.6783,0.6005,0.5316,0.4185,0.3422,0.2752,0.2171,0.1605,0.1099,0.0855,0.0575,0.0,,,pre_close,2026-06-13T19:18:02Z,81503445#phase10c,669af5ac-c580-436f-8a01-48d39aab175f,ok,0.0,high,full,current_phase8,fallback_used,projected,derived_from_projected_minutes,bdl_plus_nba_official,2026-06-13T19:17:00Z,projected,not_available_yet,bdl_lineup_freshness_manifest,model_grid
