player_id,player_name,team,game_id,stat,line,exp_mp_contextual,contextual_minutes_delta,contextual_pmf_mean_shift_ratio,contextual_pmf_applied,contextual_feature_set_id,lineup_confirmed,confirmed_starter,confirmed_bench,contextual_rate_delta_pts,contextual_rate_delta_reb,contextual_rate_delta_ast,contextual_rate_delta_tov,contextual_rate_delta_stl,contextual_rate_delta_blk,contextual_rate_delta_fg3m
161,De'Aaron Fox,SAS,21716138,reb,3.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
17896097,Jose Alvarado,NYK,21716138,fg3m,0.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
414,Landry Shamet,NYK,21716138,fg3m,1.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
17896033,Miles McBride,NYK,21716138,fg3m,0.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
73,Jalen Brunson,NYK,21716138,pts,28.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
202,Josh Hart,NYK,21716138,reb,8.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
1028025261,Stephon Castle,SAS,21716138,pts,16.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
3547246,Devin Vassell,SAS,21716138,pts,13.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
399,Mitchell Robinson,NYK,21716138,stl,0.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
18,OG Anunoby,NYK,21716138,pts,17.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
1057262518,Dylan Harper,SAS,21716138,pts,15.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
666682,Keldon Johnson,SAS,21716138,reb,2.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
61,Mikal Bridges,NYK,21716138,ast,2.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
56677822,Victor Wembanyama,SAS,21716138,pts,28.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
447,Karl-Anthony Towns,NYK,21716138,pts,16.5,14.442357447650732,14.442357447650732,1.0,True,phase13s_direct_lineup_injury_pmf_driver_v1,1,0.0,1.0,0.0289845487626156,0.0079832307829814,0.0086611200743052,0.004800512095125,0.002071547080343,-0.0005930280848728,-0.0014675478675916
